test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000_0.8_2, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000_0.8_2, 3600000, 3600000, 0112, 762, 2, 3
model_BA_5000_0.8_2, 3600000, 3600000, 011223, 368, 3, 4
model_BA_5000_0.8_2, 3600000, 3600000, 01122334, 157, 4, 5
model_BA_5000_0.8_2, 3600000, 3600000, 0112233445, 67, 5, 6
model_BA_5000_0.8_2, 3600000, 3600000, 011223344556, 52, 6, 7
model_BA_5000_0.8_2, 3600000, 3600000, 01122334455667, 28, 7, 8
model_BA_5000_0.8_2, 3600000, 3600000, 0112233445566778, 14, 8, 9
model_BA_5000_0.8_2, 3600000, 3600000, 011223344556677889, 12, 9, 10
model_BA_5000_0.8_2, 3600000, 3600000, 011220, 3, 3, 3
model_BA_5000_0.8_2, 3600000, 3600000, 0110, 3, 2, 2
model_BA_5000_0.8_2, 3600000, 3600000, 011223344005566778, 2, 9, 9
model_BA_5000_0.8_2, 3600000, 3600000, 0112233440055667, 2, 8, 8
model_BA_5000_0.8_2, 3600000, 3600000, 01122334400556, 2, 7, 7
model_BA_5000_0.8_2, 3600000, 3600000, 011223344005, 2, 6, 6
model_BA_5000_0.8_2, 3600000, 3600000, 0112233440, 1, 5, 5
model_BA_5000_0.8_2, 3600000, 3600000, 011221, 1, 3, 3
model_BA_5000_0.8_2, 3600000, 3600000, 01122003, 1, 4, 4
model_BA_5000_0.8_2, 3600000, 3600000, 011002, 1, 3, 3
